id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Names,Filter,Date-Obs
1,643.549,695.872,1193286.78317,3484176.25833,49645.1531506,Callisto,647CNT,2020-09-13T03:25:54
2,1083.464,719.539,1819440.12754,3562762.30056,110688.766742,Io,647CNT,2020-09-13T03:25:54
3,1162.836,703.617,2199439.84251,3530555.73252,149332.869601,Ganymede,647CNT,2020-09-13T03:25:54
4,1227.99,723.549,1511752.30816,3485722.91115,81460.7725934,Europa,647CNT,2020-09-13T03:25:54
