id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Names,Filter,Date-Obs
1,580.846,753.611,283354935.964,20100854.6423,2652460.57908,0_Jupiter,940NIR,2020-10-07T01:28:12
1,447.602,750.386,1257617.07348,2711334.79916,2408.66523796,1_Io,940NIR,2020-10-07T01:28:12
2,726.343,747.246,1206401.05551,2735070.8473,1807.49487774,2_Europa,940NIR,2020-10-07T01:28:12
3,854.645,763.049,1273366.7434,2705910.37803,2586.50351637,3_Ganymede,940NIR,2020-10-07T01:28:12
4,1202.839,761.727,1101015.16285,2669398.35632,999.907792313,4_Callisto,940NIR,2020-10-07T01:28:12
1,580.846,753.611,656591667.75,17667019.2186,75373580.4964,0_Jupiter,656HIA,2020-10-07T01:44:29
1,447.602,750.386,1413453.69179,2316329.88843,64097.6451335,1_Io,656HIA,2020-10-07T01:44:29
2,726.343,747.246,1255049.95959,2317006.96556,45432.0408826,2_Europa,656HIA,2020-10-07T01:44:29
3,854.645,763.049,1535726.30511,2297152.39013,79328.7245664,3_Ganymede,656HIA,2020-10-07T01:44:29
4,1202.839,761.727,1064545.16087,2235321.4524,26623.4842609,4_Callisto,656HIA,2020-10-07T01:44:29
1,580.846,753.611,569788640.435,14544260.3779,79526529.0225,0_Jupiter,672SII,2020-10-07T01:36:47
1,447.602,750.386,1187260.55157,1922906.18395,66595.8189412,1_Io,672SII,2020-10-07T01:36:47
2,726.343,747.246,1070635.63381,1929935.84078,49558.5276452,2_Europa,672SII,2020-10-07T01:36:47
3,854.645,763.049,1250682.28941,1894549.45875,77175.1774831,3_Ganymede,672SII,2020-10-07T01:36:47
4,1202.839,761.727,887517.1215,1854452.13035,27442.5103741,4_Callisto,672SII,2020-10-07T01:36:47
1,580.846,753.611,540301815.206,14451556.8516,75326056.3742,0_Jupiter,672SII,2020-10-07T01:47:05
1,447.602,750.386,1129627.21771,1892000.45474,60018.1495973,1_Io,672SII,2020-10-07T01:47:05
2,726.343,747.246,1034213.08008,1902078.78478,45847.6479698,2_Europa,672SII,2020-10-07T01:47:05
3,854.645,763.049,1258565.55706,1871803.23784,79519.9061246,3_Ganymede,672SII,2020-10-07T01:47:05
4,1202.839,761.727,871022.639538,1835098.26403,26122.9700752,4_Callisto,672SII,2020-10-07T01:47:05
1,580.846,753.611,604694306.213,12279991.4641,98938541.8067,0_Jupiter,647CNT,2020-10-07T01:49:34
1,447.602,750.386,1087810.21796,1617432.65227,80212.1622269,1_Io,647CNT,2020-10-07T01:49:34
2,726.343,747.246,961547.254082,1617378.4036,59171.7254551,2_Europa,647CNT,2020-10-07T01:49:34
3,854.645,763.049,1216348.83777,1594611.07481,103061.614119,3_Ganymede,647CNT,2020-10-07T01:49:34
4,1202.839,761.727,798400.533606,1578796.04661,34392.0026879,4_Callisto,647CNT,2020-10-07T01:49:34
1,580.846,753.611,65476940.5441,13693944.3385,759143.625038,0_Jupiter,889CH4,2020-10-07T01:24:19
1,447.602,750.386,1169578.04293,1892647.72396,6569.07352061,1_Io,889CH4,2020-10-07T01:24:19
2,726.343,747.246,1064841.14591,1901006.71124,5028.05184563,2_Europa,889CH4,2020-10-07T01:24:19
3,854.645,763.049,1220472.52099,1902844.97598,7241.50935705,3_Ganymede,889CH4,2020-10-07T01:24:19
4,1202.839,761.727,896951.65734,1875553.69631,2765.9860175,4_Callisto,889CH4,2020-10-07T01:24:19
