id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Names,Filter,Date-Obs
1,744.417,688.966,914340596.601,18367231.0488,112224192.7,0_Jupiter,656HIA,2020-09-15T01:57:44
1,511.397,681.378,1472754.43575,2337029.22946,74546.0593381,2_Europa,656HIA,2020-09-15T01:57:44
2,1163.909,670.529,1176036.34078,2289019.73028,39706.7427403,4_Callisto,656HIA,2020-09-15T01:57:44
3,1211.903,695.972,1751469.58249,2293184.93584,111440.653944,3_Ganymede,656HIA,2020-09-15T01:57:44
1,744.417,688.966,1111252991.12,16948678.6545,146131188.167,0_Jupiter,647CNT,2020-09-15T02:02:51
1,511.397,681.378,1568239.83638,2175122.1722,100342.536241,2_Europa,647CNT,2020-09-15T02:02:51
2,1163.909,670.529,1196887.184,2147138.43153,52228.0362898,4_Callisto,647CNT,2020-09-15T02:02:51
3,1211.903,695.972,1961838.05457,2150744.50349,154041.182101,3_Ganymede,647CNT,2020-09-15T02:02:51
