id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Names,Filter,Date-Obs
1,926.365,714.827,1506887638.07,21583200.2294,148744331.354,0_Jupiter,647CNT,2020-09-13T03:27:04
1,643.549,695.872,1512576.65703,2678707.76706,50806.1244383,4_Callisto,647CNT,2020-09-13T03:27:04
2,1083.464,719.539,2162074.90569,2739396.17336,113480.134068,1_Io,647CNT,2020-09-13T03:27:04
3,1162.836,703.617,2552725.61911,2715386.44276,153445.570307,3_Ganymede,647CNT,2020-09-13T03:27:04
4,1227.99,723.549,1840911.93301,2678917.96806,83631.7694981,2_Europa,647CNT,2020-09-13T03:27:04
1,926.365,714.827,1024750690.43,19728869.2469,111886326.039,0_Jupiter,656HIA,2020-09-13T03:29:39
1,643.549,695.872,1246610.46374,2434481.40659,37075.548475,4_Callisto,656HIA,2020-09-13T03:29:39
2,1083.464,719.539,1677005.38245,2497583.69076,82267.9442684,1_Io,656HIA,2020-09-13T03:29:39
3,1162.836,703.617,1925804.86946,2459471.20082,111500.352128,3_Ganymede,656HIA,2020-09-13T03:29:39
4,1227.99,723.549,1471043.12603,2445968.85216,61533.867385,2_Europa,656HIA,2020-09-13T03:29:39
1,926.365,714.827,77748378.5693,18187066.5767,6459329.8848,0_Jupiter,1000NIR,2020-09-13T03:45:15
1,643.549,695.872,977402.125107,2485143.16795,4786.67759223,4_Callisto,1000NIR,2020-09-13T03:45:15
2,1083.464,719.539,980583.83509,2503979.639,4378.04952268,1_Io,1000NIR,2020-09-13T03:45:15
3,1162.836,703.617,1063386.99219,2493806.86185,13495.7283154,3_Ganymede,1000NIR,2020-09-13T03:45:15
4,1227.99,723.549,993559.409206,2493279.39624,6166.27743333,2_Europa,1000NIR,2020-09-13T03:45:15
1,926.365,714.827,68347130.7311,16283627.6356,6314964.22639,0_Jupiter,1000NIR,2020-09-13T03:42:49
1,643.549,695.872,871484.9991,2224108.73901,4405.2025848,4_Callisto,1000NIR,2020-09-13T03:42:49
2,1083.464,719.539,894635.359725,2233557.75228,6711.90619062,1_Io,1000NIR,2020-09-13T03:42:49
3,1162.836,703.617,946229.04826,2227652.09716,13042.295509,3_Ganymede,1000NIR,2020-09-13T03:42:49
4,1227.99,723.549,893028.130886,2229405.48785,6706.00858155,2_Europa,1000NIR,2020-09-13T03:42:49
1,926.365,714.827,39988413.7845,18939619.8418,2292569.32063,0_Jupiter,940NIR,2020-09-13T03:40:11
1,643.549,695.872,985493.59448,2610851.85725,642.414801068,4_Callisto,940NIR,2020-09-13T03:40:11
2,1083.464,719.539,995763.291603,2609605.82099,1716.11087336,1_Io,940NIR,2020-09-13T03:40:11
3,1162.836,703.617,1005917.06922,2610597.79412,2694.28964243,3_Ganymede,940NIR,2020-09-13T03:40:11
4,1227.99,723.549,991230.377869,2615037.9219,1059.11571565,2_Europa,940NIR,2020-09-13T03:40:11
1,926.365,714.827,26838917.1511,18909843.5549,980302.20566,0_Jupiter,889CH4,2020-09-13T03:35:07
1,643.549,695.872,1017885.39835,2609899.77244,3917.29836882,4_Callisto,889CH4,2020-09-13T03:35:07
2,1083.464,719.539,1058113.89923,2614603.22345,7763.76904352,1_Io,889CH4,2020-09-13T03:35:07
3,1162.836,703.617,1078138.93127,2613730.59359,9798.9958675,3_Ganymede,889CH4,2020-09-13T03:35:07
4,1227.99,723.549,1039232.58619,2615275.3549,5850.4328102,2_Europa,889CH4,2020-09-13T03:35:07
1,926.365,714.827,26860325.876,18921519.5933,981391.182794,0_Jupiter,889CH4,2020-09-13T03:32:40
1,643.549,695.872,1015843.46375,2617445.07089,3430.15621662,4_Callisto,889CH4,2020-09-13T03:32:40
2,1083.464,719.539,1059452.12682,2620105.9509,7691.2395234,1_Io,889CH4,2020-09-13T03:32:40
3,1162.836,703.617,1081797.87217,2613589.41921,10170.1839962,3_Ganymede,889CH4,2020-09-13T03:32:40
4,1227.99,723.549,1040435.86803,2619116.10197,5826.73297867,2_Europa,889CH4,2020-09-13T03:32:40
1,926.365,714.827,40428837.8027,18957994.4794,2334956.34969,0_Jupiter,940NIR,2020-09-13T03:37:43
1,643.549,695.872,985351.924724,2611284.4676,612.024937566,4_Callisto,940NIR,2020-09-13T03:37:43
2,1083.464,719.539,998417.43853,2619095.60606,1625.6586259,1_Io,940NIR,2020-09-13T03:37:43
3,1162.836,703.617,1006873.42623,2610713.92726,2785.57035039,3_Ganymede,940NIR,2020-09-13T03:37:43
4,1227.99,723.549,995525.713589,2615324.71558,1477.8945246,2_Europa,940NIR,2020-09-13T03:37:43
