id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Names,Filter,Date-Obs
1,879.586,329.834,1638482910.79,20219128.9277,162026747.932,0_Jupiter,647CNT,2020-09-02T03:26:10
1,1062.392,327.706,2348127.32065,2532062.16354,139860.400932,1_Io,647CNT,2020-09-02T03:26:10
2,1242.608,333.763,1897905.97709,2475055.30565,96976.023747,2_Europa,647CNT,2020-09-02T03:26:10
1,879.586,329.834,1254873185.08,20572263.8736,123633961.402,0_Jupiter,656HIA,2020-09-02T03:29:19
1,1062.392,327.706,1971330.25152,2574220.93723,100599.740006,1_Io,656HIA,2020-09-02T03:29:19
2,1242.608,333.763,1654528.68954,2503934.80755,71555.3136712,2_Europa,656HIA,2020-09-02T03:29:19
1,879.586,329.834,70896078.4785,14964457.8805,6754657.04617,0_Jupiter,1000NIR,2020-09-02T03:22:57
1,1062.392,327.706,874341.705835,2051926.14007,12337.57686,1_Io,1000NIR,2020-09-02T03:22:57
2,1242.608,333.763,841144.16128,2043278.03213,8813.51755641,2_Europa,1000NIR,2020-09-02T03:22:57
1,879.586,329.834,20461985.4775,13225062.4937,1068439.34531,0_Jupiter,889CH4,2020-09-02T03:16:55
1,1062.392,327.706,761584.09281,1827803.74201,9519.71119438,1_Io,889CH4,2020-09-02T03:16:55
2,1242.608,333.763,741656.19082,1839342.55283,6487.84168854,2_Europa,889CH4,2020-09-02T03:16:55
1,879.586,329.834,32994866.1691,14546601.8411,2339978.76063,0_Jupiter,940NIR,2020-09-02T03:19:50
1,1062.392,327.706,772198.527168,2009024.26266,2213.46219659,1_Io,940NIR,2020-09-02T03:19:50
2,1242.608,333.763,768397.72058,2006615.3984,1872.58190364,2_Europa,940NIR,2020-09-02T03:19:50
