id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Names,Filter,Date-Obs
1,988.256,694.938,1335828573.39,22079800.8927,131593686.088,0_Jupiter,656HIA,2020-09-03T03:43:02
1,474.45,704.147,2519981.53599,2683080.8395,151382.622118,3_Ganymede,656HIA,2020-09-03T03:43:02
2,760.099,696.835,2153728.10328,2726984.04052,113110.908808,1_Io,656HIA,2020-09-03T03:43:02
1,988.256,694.938,1753743390.19,21444250.9512,173442424.519,0_Jupiter,647CNT,2020-09-03T03:40:30
1,474.45,704.147,3096052.65261,2657054.75257,209965.71204,3_Ganymede,647CNT,2020-09-03T03:40:30
2,760.099,696.835,2508044.16307,2692868.59015,149821.844177,1_Io,647CNT,2020-09-03T03:40:30
1,988.256,694.938,49853210.6584,18906269.5048,3282053.54288,0_Jupiter,940NIR,2020-09-03T03:49:29
1,474.45,704.147,1017708.725,2603836.93492,4126.98744032,3_Ganymede,940NIR,2020-09-03T03:49:29
2,760.099,696.835,1007259.65735,2602641.27329,3126.91798691,1_Io,940NIR,2020-09-03T03:49:29
1,988.256,694.938,28316150.6223,18832699.5385,1134975.46416,0_Jupiter,889CH4,2020-09-03T03:46:55
1,474.45,704.147,1111646.06055,2604510.43701,13495.4646673,3_Ganymede,889CH4,2020-09-03T03:46:55
2,760.099,696.835,1074973.90003,2600366.53104,9983.6450889,1_Io,889CH4,2020-09-03T03:46:55
1,988.256,694.938,93113777.8393,18916564.5285,7607182.78136,0_Jupiter,1000NIR,2020-09-03T03:32:38
1,474.45,704.147,1142479.50755,2586284.33704,17262.288116,3_Ganymede,1000NIR,2020-09-03T03:32:38
2,760.099,696.835,1096410.4797,2593357.90774,12390.1264296,1_Io,1000NIR,2020-09-03T03:32:38
1,988.256,694.938,44827120.1659,16843829.527,3294722.10783,0_Jupiter,940NIR,2020-09-03T03:30:09
1,474.45,704.147,905448.08614,2314702.50862,4159.40504533,3_Ganymede,940NIR,2020-09-03T03:30:09
2,760.099,696.835,898105.394117,2329512.97706,2726.44752454,1_Io,940NIR,2020-09-03T03:30:09
1,988.256,694.938,28045613.706,18616900.8613,1127363.0948,0_Jupiter,889CH4,2020-09-03T03:27:29
1,474.45,704.147,1087313.42405,2576772.50301,12102.3735418,3_Ganymede,889CH4,2020-09-03T03:27:29
2,760.099,696.835,1056599.58479,2581550.72935,8851.80612895,1_Io,889CH4,2020-09-03T03:27:29
1,988.256,694.938,88824072.5699,19121266.276,7159770.65555,0_Jupiter,1000NIR,2020-09-03T03:52:02
1,474.45,704.147,1146956.36258,2606851.13539,16938.7186805,3_Ganymede,1000NIR,2020-09-03T03:52:02
2,760.099,696.835,1110708.86994,2620342.4784,12808.0440539,1_Io,1000NIR,2020-09-03T03:52:02
